Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Brazil,0.6498858571,0.6621305352,0.7017754936,0.7060495123,0.6998843342,0.6764552007,0.750374992,0.7518873654,0.8565535235,0.9090934292,0.9857880812,1.052857819,1.145237632,1.29536175,1.370088081,1.40990567,1.413180657,1.449507777,1.53686272,1.59759916,1.550121144,1.390352265,1.3610983,1.28724351,1.275133155,1.33986352,1.440047603,1.47297773,1.457685267,1.462631956,1.330575227,1.353001626,1.352656787,1.37189196,1.396952923,1.490557743,1.597062891,1.683581162,1.712516222,1.744558457,1.788828844,1.803426195,1.767207182,1.701508643,1.775807036,1.775721997,1.774909381,1.84883594,1.938026863,1.809460643,2.032203816,2.111844515,2.266878111,2.401859521,2.499362016,2.347365731,2.143497524,2.164421504,2.041874199
Barbados,0.7461480183,0.8387393297,1.119222949,0.8161724421,0.7659513701,0.872297857,1.133880314,1.425515822,1.854822733,2.018704589,1.795931267,2.016068773,2.080046207,1.976241998,2.008551236,2.309025098,2.147614547,2.371689344,2.520879297,2.392660346,2.673375913,2.707223959,2.540133345,2.691339176,2.927939317,3.305537345,3.565497419,3.652616933,3.653264857,3.808609753,3.755753393,3.741714774,4.488569364,3.751861719,3.888362471,4.023237014,4.006785322,4.362692639,4.715334863,4.806714611,4.567034116,4.844143357,5.010551417,5.030419457,4.940370455,5.138969311,5.297774574,5.310350519,6.358369114,16.43502296,5.635679879,5.901331157,7.789973845,5.205878422,4.529096814,4.52112839,4.583656989,4.192447306,4.360870779
Brunei Darussalam,4.084068684,3.55728144,4.138918689,3.802640582,3.486347233,3.259078035,4.580588027,3.913345072,3.639100232,3.94600958,63.38618853,55.40826405,66.61873746,67.20874519,52.78130381,43.80843877,35.82549517,36.60346732,52.6571818,39.66152263,35.50112956,7.351342569,10.16119749,12.76091723,8.790338992,11.56761718,9.956863289,13.9693768,23.39090035,25.24329107,15.15186654,12.69683856,13.10754761,13.73879951,14.3028896,15.1458036,15.46188694,16.31608978,13.5052564,12.84432918,13.29667493,12.67509124,12.5729215,14.86010275,13.68818754,13.2014286,19.49970561,18.24160526,19.02914464,19.35389761,17.65156934,17.80602357,17.86980854,17.35844951,17.00920986,14.41262527,15.26950316,15.80753909,16.64490862
Bhutan,,,,,,,,,,,0.01233405201,0.01194629867,0.01157432249,0.01121454741,0.01086547493,0.01052540938,0.01019401147,0.01974562764,0.02869895963,0.05567420393,0.05407451282,0.06139337538,0.07694118964,0.06669955869,0.1137127302,0.1342748953,0.1149090317,0.2077145452,0.215904006,0.1193838058,0.244912877,0.3179727553,0.3741639774,0.3191948779,0.357206644,0.430204871,0.5171098729,0.6706385385,0.6378703635,0.6229602378,0.6260426995,0.5963789856,0.6493242969,0.5733944954,0.4852780722,0.6319904307,0.6084538579,0.5865781886,0.5955828597,0.54545803,0.685628926,0.9663967968,1.083266104,1.196786979,1.307274985,1.31888966,1.669594112,1.783886808,1.829277992
Botswana,,,,,,,,,,,,,0.03298175975,0.07441303598,0.1231396066,0.2522668228,0.7715167368,0.9756899162,0.9999303276,1.089409795,1.098637872,1.083847801,1.142534888,1.034436476,1.013239755,1.083384677,0.9605283056,1.073202621,1.084754844,1.14917508,2.183786203,2.0658649,2.420169251,2.322905275,2.147746853,2.171289562,1.940555211,1.992957783,2.335281728,2.397128414,2.452333155,2.310897524,2.364139697,2.260164542,2.248612742,2.378997675,2.227776837,2.303437347,2.291667102,2.093683373,1.695933684,1.984711765,2.515259486,2.695690919,3.413738935,3.399795164,3.296410755,3.569037983,3.64230522
Central African Republic,0.05860682921,0.05767019187,0.04725795601,0.04643609023,0.04559193046,0.05367303651,0.05041245796,0.05366427326,0.1051199462,0.1051324717,0.1154063397,0.09961874843,0.09031120268,0.08515080349,0.05907182862,0.05242939653,0.06426835625,0.06291686806,0.07026041572,0.0479620026,0.04835181523,0.05991721577,0.06123864672,0.06090547693,0.06066336828,0.06346861146,0.06211031406,0.09836536907,0.08575472518,0.09081575607,0.05700563643,0.05211034748,0.05068875886,0.05252535333,0.05103640586,0.04964839626,0.0513869178,0.0501115424,0.06617781403,0.06745326543,0.06592644093,0.06716790041,0.06575263491,0.06183678438,0.06060785129,0.05942977134,0.06313629548,0.06193419539,0.06084194013,0.05994066335,0.06154877227,0.06563106875,0.06762222887,0.06744687715,0.06720172682,0.0689935905,0.06831680397,0.06744961894,0.07071870563
Canada,10.77084729,10.62789765,11.13062748,11.1321024,12.3053704,12.81400147,12.93491815,13.8103546,14.6326452,14.61864861,16.01414875,16.05533218,17.15406592,16.96713528,17.09800561,17.16020892,17.02862407,17.20283524,17.35562946,18.26610116,18.07962055,17.32493528,16.51518883,16.11132555,16.62025251,16.33299046,15.51911259,16.31019464,17.02217437,16.98419297,15.1355282,14.72781732,15.01519284,14.7353487,15.1313782,15.340087,15.64189767,16.00116472,16.14184074,16.28681103,16.78304541,16.34188458,16.75601646,17.23421557,16.82025619,17.0566373,16.61192808,17.37084027,16.54880282,15.48668191,15.73391403,15.95022477,15.7612635,15.85812871,15.85413843,15.65138616,15.24474718,15.38529105,15.49702527
Central Europe and the Baltics,5.22890328,5.460761919,5.796790472,6.212908524,6.612333622,6.765929428,6.930168059,7.143074036,7.561579657,8.067365367,8.350394198,8.560477886,8.874687268,9.176709681,9.397400141,9.937137353,10.43308314,10.771583,11.2496604,11.30180728,11.54082568,10.77728371,10.99103078,11.03546444,10.96673751,11.11412692,11.26422926,11.52667688,11.09202083,10.76396187,8.928048339,8.25775687,7.703558251,7.505139587,7.306747437,7.365817629,7.596542118,7.379959277,6.949300035,6.580907221,6.534386527,6.68651055,6.600333241,6.914286139,6.924274597,6.927355355,7.099956368,7.192342046,7.052635427,6.521535327,6.786153806,6.803902523,6.562543062,6.326934971,6.142062501,6.249982689,6.372489936,6.625943967,6.597232486
Switzerland,3.664365979,3.751824984,4.333572069,5.111295488,4.865282038,5.185731956,5.327620031,5.434600874,5.937701579,6.208288851,6.519570443,6.750434987,6.863739819,7.334759289,6.541311271,6.168137541,6.423427895,6.540985491,6.720778708,6.340850586,6.414949786,6.11563526,5.73116759,6.242518469,6.08124526,6.155338532,6.502824669,6.150039281,6.174526108,5.937782989,6.452219106,6.716198199,6.646920803,6.26237251,6.089683784,6.169852459,6.223265482,6.030549707,6.223627817,6.23321054,6.084142395,6.24632254,5.980985217,6.109823394,6.127509853,6.165025013,6.077017782,5.76603435,5.878910911,5.639327614,5.777702974,5.205754311,5.310833838,5.37497098,4.851838197,4.712404478,4.730490994,4.569419203,4.401991044
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
